workerid,proliferate.condition,Browser,OS,screenH,screenW,error
239,norming,Chrome,Windows,1080,1920,
213,norming,Chrome,Windows,768,1366,
165,norming,Chrome,Windows,1080,1920,
58,norming,Chrome,Linux,698,1241,
222,norming,Chrome,Windows,1080,1920,
240,norming,Chrome,Mac,1050,1680,
87,norming,Chrome,Windows,768,1366,
79,norming,Chrome,Windows,1080,1920,
162,norming,Chrome,Windows,768,1366,
101,norming,Chrome,Mac,1080,1920,
45,norming,Chrome,Mac,1080,1920,
181,norming,Safari,an unknown OS,1366,1024,
227,norming,Firefox,Windows,1080,1920,
63,norming,Safari,Mac,900,1440,
157,norming,Chrome,Windows,864,1536,
65,norming,Chrome,Windows,864,1536,
108,norming,Chrome,Windows,1080,1920,
132,norming,Chrome,Windows,864,1536,
210,norming,Chrome,Windows,1080,1920,
62,norming,Chrome,Windows,700,1120,
59,norming,Chrome,Windows,1080,1920,
231,norming,Chrome,Mac,1080,1920,
66,norming,Chrome,Linux,768,1366,
43,norming,Firefox,Windows,1440,2560,
54,norming,Chrome,Mac,1080,1920,
93,norming,Chrome,Windows,1080,1920,
110,norming,Chrome,Windows,1080,1920,
80,norming,Chrome,Windows,1440,2560,
64,norming,Chrome,Windows,1080,1920,
145,norming,Chrome,Windows,1080,1920,
147,norming,Chrome,Windows,1080,1920,
241,norming,Chrome,Windows,1080,1920,
153,norming,Chrome,Windows,1080,1920,
72,norming,Safari,Mac,800,1280,
208,norming,Chrome,Windows,1024,1280,
178,norming,Chrome,Mac,900,1600,
94,norming,Firefox,Mac,800,1280,
179,norming,Chrome,Mac,768,1366,
177,norming,Chrome,Windows,720,1280,
212,norming,Safari,Mac,900,1440,
88,norming,Chrome,Windows,1080,2560,
127,norming,Chrome,Windows,864,1536,
205,norming,Chrome,Windows,1080,1920,
34,norming,Firefox,Windows,720,1280,
131,norming,Chrome,Mac,900,1440,
99,norming,Chrome,Windows,1080,1920,
152,norming,Firefox,Windows,1080,1920,
183,norming,Chrome,Windows,900,1440,
209,norming,Safari,Mac,800,1280,
118,norming,Chrome,Windows,768,1366,
193,norming,Chrome,Windows,864,1536,
216,norming,Chrome,Windows,1080,1920,
81,norming,Chrome,Mac,900,1440,
96,norming,Chrome,Windows,1080,1920,
95,norming,Chrome,Windows,800,1280,
104,norming,Chrome,Mac,1050,1680,
243,norming,Chrome,Windows,768,1366,
115,norming,Chrome,Windows,1080,1920,
124,norming,Chrome,Windows,1080,1920,
70,norming,Safari,Mac,1050,1680,
90,norming,Chrome,Windows,720,1280,
75,norming,Safari,Mac,900,1440,
154,norming,Safari,Mac,900,1440,
170,norming,Chrome,Windows,1080,1920,
189,norming,Firefox,Windows,960,1536,
133,norming,Chrome,Windows,668,1188,
109,norming,Chrome,Mac,1440,2560,
187,norming,Chrome,Windows,768,1366,
234,norming,Chrome,Windows,720,1280,
89,norming,Chrome,Windows,768,1366,
52,norming,Chrome,Windows,1080,1920,
217,norming,Chrome,Mac,768,1366,
150,norming,Chrome,Windows,720,1280,
60,norming,Chrome,Windows,720,1280,
41,norming,Chrome,Windows,1080,1920,
68,norming,Chrome,Windows,900,1600,
122,norming,Chrome,Mac,900,1440,
202,norming,Chrome,Windows,864,1536,
195,norming,Firefox,Windows,1080,1920,
226,norming,Chrome,Windows,615,1093,
91,norming,Firefox,Mac,800,1280,
220,norming,Chrome,Windows,1080,1920,
84,norming,Firefox,Windows,864,1536,
151,norming,Chrome,Linux,2160,3840,
215,norming,Chrome,Windows,864,1536,
196,norming,Chrome,Mac,900,1440,
235,norming,Chrome,Windows,1080,1920,
73,norming,Chrome,Mac,900,1440,
190,norming,Chrome,Windows,960,1707,
126,norming,Chrome,Windows,864,1536,
46,norming,Chrome,Windows,1080,1920,
100,norming,Chrome,Mac,900,1440,
242,norming,Chrome,Windows,768,1366,
166,norming,Chrome,Windows,864,1536,
186,norming,Chrome,Windows,864,1536,
172,norming,Chrome,Windows,864,1536,
230,norming,Chrome,Mac,800,1280,
92,norming,Chrome,Windows,864,1536,
106,norming,Chrome,Windows,768,1366,
42,norming,Chrome,Windows,707,1255,
199,norming,Chrome,Windows,864,1536,
141,norming,Chrome,Windows,1440,2560,
56,norming,Firefox,Windows,1080,1920,
98,norming,Chrome,Mac,1440,2560,
40,norming,Chrome,Windows,864,1536,
36,norming,Chrome,Windows,864,1536,
223,norming,Chrome,Windows,864,1536,
117,norming,Chrome,Windows,720,1280,
116,norming,Chrome,Windows,864,1536,
158,norming,Firefox,Linux,800,1280,
114,norming,Chrome,Windows,864,1536,
225,norming,Chrome,Windows,900,1600,
168,norming,Chrome,Windows,768,1366,
76,norming,Chrome,Windows,768,1366,
211,norming,Chrome,Windows,864,1536,
82,norming,Chrome,Windows,683,854,
167,norming,Chrome,Windows,864,1536,
57,norming,Chrome,Windows,1080,1920,
149,norming,Safari,Mac,768,1366,
61,norming,Chrome,Windows,864,1536,
86,norming,Firefox,Windows,1080,1920,
32,norming,Chrome,Windows,1440,2560,
44,norming,Chrome,Windows,864,1536,
97,norming,Firefox,Windows,1080,1920,
148,norming,Chrome,Mac,900,1440,
185,norming,Chrome,Mac,1050,1680,
140,norming,Chrome,Windows,680,1209,
135,norming,Chrome,Windows,800,1280,
219,norming,Chrome,Mac,900,1440,
78,norming,Chrome,Windows,1080,1920,
85,norming,Chrome,Windows,1080,1920,
48,norming,Chrome,Windows,1080,1920,
155,norming,Chrome,Windows,900,1600,
160,norming,Chrome,Linux,768,1366,
83,norming,Chrome,Windows,1024,1280,
33,norming,Chrome,Windows,768,1366,
159,norming,Firefox,Windows,1080,1920,
102,norming,Chrome,Windows,768,1366,
163,norming,Chrome,Windows,864,1536,
39,norming,Chrome,Mac,900,1440,
55,norming,Chrome,Windows,1080,1920,
137,norming,Firefox,Windows,864,1536,
192,norming,Chrome,Windows,1080,1920,
119,norming,Chrome,Windows,864,1536,
194,norming,Chrome,Windows,1080,1920,
129,norming,Chrome,Windows,1080,1920,
142,norming,Chrome,Windows,768,1366,
35,norming,Chrome,Windows,864,1536,
198,norming,Chrome,Windows,720,1280,
204,norming,Chrome,Windows,720,1280,
67,norming,Chrome,Windows,960,1707,
180,norming,Firefox,Windows,768,1366,
161,norming,Chrome,Windows,1024,1280,
175,norming,Chrome,Windows,1080,1920,
232,norming,Chrome,Windows,768,1366,
136,norming,Chrome,Mac,900,1440,
229,norming,Chrome,Windows,864,1536,
182,norming,Chrome,Linux,664,1181,
143,norming,Chrome,Linux,768,1366,
50,norming,Chrome,Mac,900,1440,
221,norming,Chrome,Mac,800,1280,
69,norming,Chrome,Windows,1080,1920,
112,norming,Chrome,Mac,800,1280,
197,norming,Chrome,Mac,900,1440,
184,norming,Chrome,Windows,864,1536,
201,norming,Chrome,Windows,768,1366,
237,norming,Chrome,Windows,768,1366,
236,norming,Chrome,Windows,864,1536,
37,norming,Chrome,Mac,800,1280,
53,norming,Chrome,Windows,1080,1920,
169,norming,Chrome,Windows,720,1280,
107,norming,Firefox,Windows,800,1280,
51,norming,Chrome,Windows,1003,1504,
207,norming,Chrome,Mac,900,1440,
113,norming,Chrome,Linux,768,1366,
156,norming,Firefox,Windows,720,1152,
171,norming,Firefox,Windows,768,1366,
146,norming,Safari,Mac,900,1440,
139,norming,Chrome,Windows,864,1639,
130,norming,Firefox,Windows,768,1366,
188,norming,Chrome,Linux,800,360,
214,norming,Chrome,Windows,768,1366,
228,norming,Safari,Mac,900,1440,
123,norming,Chrome,Linux,853,1517,
144,norming,Chrome,Windows,1080,1920,
191,norming,Chrome,Windows,720,1280,
200,norming,Chrome,Mac,800,1280,
128,norming,Chrome,Mac,1120,1792,
238,norming,Chrome,Mac,900,1440,
176,norming,Chrome,Windows,1080,1920,
77,norming,Chrome,Windows,768,1366,
71,norming,Chrome,Windows,1080,1920,
224,norming,Chrome,Mac,1440,2560,
203,norming,Chrome,Windows,720,1280,
120,norming,Chrome,Windows,1024,1280,
121,norming,Chrome,Windows,768,1366,
49,norming,Chrome,Windows,1080,1920,
74,norming,Chrome,Windows,1080,1920,
125,norming,Chrome,Windows,720,1280,
103,norming,Firefox,Windows,864,1536,
