workerid,proliferate.condition,audio,first,image,list,response,seconds_elapsed,slide_number,slide_type,story,tag,trial_num,type,error
25,pilot,,,Jessica,,"[0, 'jessica']",,1,bot_check,,,,,
25,pilot,,Brad,,1,pass,9.962,,,exclusion2,exclusion,0,exclusion,
25,pilot,,Hunter,,1,basketball,4.931,,,high school team,sports,1,critical,
25,pilot,,Peter,,1,stench,4.614,,,sleep,neighborhood,2,filler,
25,pilot,,Cody,,1,doctor's,3.902,,,appointment,appointment,3,filler,
25,pilot,,Ethan,,1,subaru,4.73,,,gray car,poor,4,critical,
25,pilot,,Connor,,1,rock,9.122,,,genre,jazz,5,critical,
25,pilot,,Deandre,,1,beer,4.121,,,alcohol,food,6,filler,
25,pilot,,Ryan,,1,office,4.403,,,job,work,7,filler,
25,pilot,,Deshawn,,1,pass,4.37,,,exclusion1,exclusion,8,exclusion,
25,pilot,,Lamar,,1,burgers,5.269,,,food,fast food,9,critical,
25,pilot,,Logan,,1,ayo,5.653,,,friend,names,10,filler,
25,pilot,,Rasheed,,1,b-ball,7.738,,,practice,sports,11,critical,
25,pilot,,Jamal,,1,ice pick,5.852,,,B&D,weapon,12,filler,
25,pilot,,Hakeem,,1,a rabbit,4.17,,,driving,driving,13,filler,
25,pilot,,Tremayne,,1,the movie,5.036,,,movies,movie,14,filler,
25,pilot,,Lamont,,1,relax,3.952,,,lazy day,lazy,15,critical,
25,pilot,,Marquis,,1,sis,3.444,,,sister,names,16,filler,
25,pilot,,Dylan,,1,olive garden,5.215,,,restaurant,fast food,17,critical,
25,pilot,,Ian,,1,cello,4.459,,,performing,jazz,18,critical,
25,pilot,,Trevon,,1,toy,3.211,,,lost item,item,19,filler,
